student_id,study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
STU001,13.5,56,No,66,Pass
STU002,6.0,61,No,46,Fail
STU003,12.6,57,Yes,62,Pass
STU004,6.2,93,Yes,60,Pass
STU005,14.9,99,Yes,63,Pass
STU006,10.1,72,No,35,Fail
STU007,15.7,65,No,78,Pass
STU008,7.0,68,No,78,Fail
STU009,3.8,79,Yes,79,Pass
STU010,12.9,57,No,50,Fail
STU011,19.5,79,Yes,72,Pass
STU012,16.9,94,No,81,Pass
STU013,12.4,100,Yes,64,Pass
STU014,15.9,60,No,47,Pass
STU015,8.8,84,Yes,81,Pass
STU016,4.9,77,Yes,69,Pass
STU017,14.6,98,Yes,56,Pass
STU018,11.6,70,Yes,83,Pass
STU019,6.9,95,No,63,Pass
STU020,14.3,58,Yes,39,Pass
STU021,16.5,80,Yes,62,Pass
STU022,18.4,91,No,75,Pass
STU023,5.8,86,Yes,93,Pass
STU024,4.6,63,Yes,68,Fail
STU025,15.4,82,No,86,Pass
STU026,8.5,63,Yes,46,Fail
STU027,15.6,62,Yes,55,Pass
STU028,16.3,82,Yes,84,Pass
STU029,8.9,84,Yes,36,Fail
STU030,14.2,62,No,69,Pass
STU031,15.8,76,Yes,90,Pass
STU032,4.8,55,No,68,Fail
STU033,19.5,66,Yes,48,Pass
STU034,17.7,74,No,60,Pass
STU035,4.8,65,Yes,35,Fail
STU036,12.8,86,Yes,81,Pass
STU037,17.8,74,Yes,65,Pass
STU038,17.8,60,Yes,97,Pass
STU039,16.7,89,No,51,Pass
STU040,13.9,90,Yes,89,Pass
STU041,19.4,89,No,60,Pass
STU042,14.8,80,No,82,Pass
STU043,9.9,88,Yes,66,Pass
STU044,6.0,76,Yes,64,Fail
STU045,12.6,55,Yes,42,Fail
STU046,6.1,57,No,44,Fail
STU047,11.3,72,No,62,Pass
STU048,11.7,91,Yes,66,Pass
STU049,16.1,81,Yes,47,Pass
STU050,13.9,77,Yes,94,Pass
STU051,17.5,58,No,47,Pass
STU052,3.1,76,No,48,Fail
STU053,6.5,67,Yes,52,Fail
STU054,9.6,72,Yes,44,Fail
STU055,10.0,90,Yes,36,Fail
STU056,19.4,70,Yes,97,Pass
STU057,10.7,80,No,56,Pass
STU058,8.8,79,Yes,93,Pass
STU059,7.1,99,No,97,Pass
STU060,4.8,73,Yes,42,Fail
STU061,12.4,89,Yes,75,Pass
STU062,3.0,92,Yes,55,Fail
STU063,3.0,87,Yes,58,Fail
STU064,3.2,59,No,65,Fail
STU065,9.3,91,Yes,40,Pass
STU066,13.1,81,No,75,Pass
STU067,18.8,68,No,75,Pass
STU068,6.3,80,Yes,73,Pass
STU069,10.2,59,Yes,47,Fail
STU070,3.3,68,Yes,51,Fail
STU071,18.8,59,No,82,Pass
STU072,7.1,83,No,73,Pass
STU073,13.0,96,Yes,73,Pass
STU074,18.8,61,No,52,Pass
STU075,6.8,61,No,54,Fail
STU076,6.9,93,Yes,78,Pass
STU077,5.7,95,No,97,Pass
STU078,6.5,58,Yes,89,Pass
STU079,16.9,57,Yes,51,Pass
STU080,13.5,71,Yes,91,Pass
STU081,11.9,82,Yes,49,Pass
STU082,3.4,99,No,39,Fail
STU083,17.0,92,Yes,90,Pass
STU084,4.3,74,Yes,40,Fail
STU085,18.2,68,No,48,Pass
STU086,8.4,90,No,87,Pass
STU087,19.5,64,No,65,Pass
STU088,17.6,66,No,38,Pass
STU089,5.2,76,No,87,Pass
STU090,16.4,70,Yes,48,Pass
STU091,8.9,57,No,63,Fail
STU092,5.6,84,Yes,64,Pass
STU093,6.0,97,Yes,77,Pass
STU094,7.0,59,No,70,Fail
STU095,8.3,87,Yes,77,Pass
STU096,18.9,62,No,68,Pass
STU097,5.2,71,Yes,90,Pass
STU098,8.2,75,Yes,49,Fail
STU099,8.9,91,Yes,40,Fail
STU100,14.8,55,Yes,60,Pass
STU101,8.6,59,No,77,Fail
STU102,13.2,97,No,73,Pass
STU103,11.1,97,Yes,86,Pass
STU104,14.5,90,Yes,88,Pass
STU105,14.0,79,No,57,Pass
STU106,13.1,74,Yes,35,Pass
STU107,7.5,68,Yes,76,Pass
STU108,10.4,83,No,95,Pass
STU109,16.3,65,No,71,Pass
